Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
01001,Autauga County,55,-86.63,32.52,1565.35,0.04,0.46,86.0,10.0,4979.0,80.0,3.0,4512.0,170.0,8.0,19912.0,499.0,80.0,23685.0,238.0,24.0,15409.0,122.0,11.0,3648.0,361.0,76.0,18856.0,118.0,42.0,3766.0,268.0,51.0,13270.0,,,,276.0,27.0,7948.0,159.0,7.0,3110.0,1585.0,89.0,56125.0,335.0,13.0,4434.0,2456.0,101.0,37489.0,816.0,112.0,18378.0,,,
01003,Baldwin County,213,-83.26,33.09,4352.57,0.05,0.56,6.0,10.0,487.0,49.0,9.0,1395.0,283.0,8.0,20003.0,4042.0,607.0,201144.0,2570.0,236.0,140586.0,783.0,98.0,28822.0,1700.0,372.0,108885.0,2023.0,404.0,75634.0,2185.0,470.0,121998.0,559.0,21.0,46289.0,4598.0,306.0,135101.0,1593.0,48.0,62377.0,8814.0,519.0,388404.0,1638.0,102.0,32956.0,13598.0,598.0,268603.0,3302.0,509.0,91613.0,14.0,8.0,235.0
01005,Barbour County,25,-85.4,31.86,2342.54,0.01,0.2,130.0,13.0,5498.0,81.0,4.0,4287.0,98.0,5.0,11322.0,91.0,24.0,2670.0,70.0,10.0,3019.0,89.0,10.0,1754.0,155.0,44.0,7068.0,34.0,16.0,855.0,95.0,29.0,3895.0,,,,128.0,9.0,4783.0,59.0,4.0,1299.0,576.0,35.0,19409.0,39.0,7.0,586.0,613.0,50.0,7490.0,204.0,38.0,4633.0,,,
01007,Bibb County,22,-83.69,32.81,1622.28,0.01,0.31,58.0,10.0,1517.0,,,,17.0,3.0,1305.0,805.0,26.0,58896.0,100.0,14.0,5248.0,24.0,5.0,1020.0,71.0,17.0,2676.0,17.0,9.0,390.0,81.0,19.0,2531.0,,,,95.0,13.0,4166.0,79.0,4.0,1238.0,722.0,22.0,24296.0,10.0,4.0,173.0,330.0,17.0,4265.0,118.0,36.0,3857.0,,,
01009,Blount County,58,-86.57,33.95,1685.11,0.03,0.57,18.0,3.0,222.0,,,,,,,534.0,102.0,24081.0,383.0,36.0,18275.0,60.0,11.0,2354.0,215.0,47.0,12275.0,25.0,9.0,1512.0,270.0,43.0,10835.0,,,,231.0,30.0,16400.0,13.0,3.0,65.0,985.0,62.0,36152.0,38.0,7.0,851.0,862.0,47.0,10787.0,599.0,95.0,13414.0,,,
01011,Bullock County,10,-85.71,32.1,1619.19,0.01,0.44,361.0,13.0,15126.0,,,,,,,42.0,7.0,2002.0,18.0,5.0,755.0,,,,44.0,5.0,1441.0,6.0,3.0,111.0,28.0,5.0,1459.0,,,,,,,,,,355.0,11.0,12281.0,15.0,3.0,152.0,104.0,7.0,1067.0,51.0,14.0,755.0,,,
01013,Butler County,20,-79.93,40.92,2014.4,0.01,0.15,148.0,22.0,6790.0,,,,,,,298.0,30.0,16149.0,86.0,17.0,4651.0,164.0,14.0,3515.0,154.0,38.0,5467.0,41.0,21.0,1050.0,53.0,18.0,2480.0,,,,332.0,12.0,8549.0,,,,1110.0,40.0,42646.0,119.0,5.0,1402.0,758.0,40.0,9694.0,108.0,38.0,2637.0,,,
01015,Calhoun County,115,-96.67,28.5,1585.65,0.07,0.36,72.0,15.0,3395.0,,,,176.0,9.0,17759.0,993.0,135.0,44299.0,2154.0,99.0,87172.0,451.0,39.0,22293.0,874.0,164.0,49657.0,293.0,79.0,11034.0,985.0,163.0,46732.0,138.0,12.0,7442.0,2414.0,90.0,66691.0,784.0,15.0,20827.0,6297.0,273.0,259124.0,198.0,19.0,5058.0,5171.0,224.0,73880.0,1589.0,283.0,36332.0,3.0,4.0,75.0
01017,Chambers County,34,-94.54,29.72,1562.22,0.02,0.23,201.0,21.0,8402.0,,,,91.0,5.0,5932.0,161.0,37.0,4689.0,123.0,14.0,7467.0,62.0,5.0,2793.0,131.0,29.0,5314.0,33.0,14.0,939.0,186.0,31.0,5453.0,,,,276.0,34.0,9699.0,,,,768.0,51.0,26421.0,,,,778.0,60.0,10896.0,307.0,93.0,6063.0,,,
01019,Cherokee County,26,-95.18,31.84,1553.83,0.02,0.69,86.0,7.0,2179.0,,,,93.0,3.0,8793.0,75.0,28.0,2380.0,145.0,14.0,5647.0,31.0,5.0,1474.0,106.0,24.0,4406.0,28.0,10.0,1359.0,52.0,21.0,1889.0,,,,527.0,8.0,5529.0,,,,687.0,61.0,26121.0,5.0,5.0,220.0,587.0,41.0,7832.0,273.0,49.0,4421.0,,,
